iter	Passed	Remaining
0	4	4457
1	8	4001
2	9	3139
3	12	3114
4	17	3406
5	21	3512
6	25	3589
7	38	4772
8	45	4971
9	49	4884
10	53	4811
11	57	4758
12	62	4766
13	67	4769
14	70	4650
15	75	4636
16	81	4716
17	93	5104
18	102	5268
19	106	5239
20	115	5372
21	121	5391
22	125	5320
23	129	5257
24	132	5174
25	134	5042
26	136	4914
27	139	4859
28	143	4798
29	145	4715
30	148	4638
31	150	4563
32	153	4498
33	158	4489
34	160	4425
35	163	4370
36	167	4359
37	171	4347
38	175	4332
39	179	4318
40	184	4312
41	188	4294
42	192	4285
43	196	4277
44	201	4274
45	205	4264
46	209	4254
47	214	4245
48	218	4233
49	220	4192
50	221	4130
51	224	4091
52	227	4057
53	229	4023
54	232	3994
55	236	3995
56	241	3991
57	245	3988
58	249	3984
59	252	3955
60	254	3917
61	256	3877
62	258	3851
63	261	3825
64	264	3803
65	266	3777
66	269	3752
67	272	3731
68	275	3721
69	279	3707
70	280	3668
71	282	3646
72	284	3607
73	287	3602
74	292	3602
75	296	3598
76	299	3591
77	301	3563
78	303	3539
79	307	3538
80	311	3534
81	315	3532
82	319	3528
83	323	3531
84	325	3507
85	330	3509
86	334	3511
87	336	3486
88	340	3489
89	344	3483
90	345	3455
91	348	3439
92	352	3440
93	356	3438
94	360	3432
95	362	3415
96	366	3409
97	370	3409
98	374	3407
99	378	3405
100	383	3410
101	387	3408
102	388	3383
103	390	3362
104	393	3353
105	397	3349
106	402	3359
107	406	3353
108	410	3355
109	415	3357
110	417	3343
111	421	3342
112	426	3344
113	431	3352
114	434	3340
115	438	3339
116	440	3324
117	443	3312
118	447	3311
119	449	3298
120	452	3286
121	454	3273
122	457	3260
123	460	3255
124	464	3253
125	468	3250
126	470	3236
127	475	3237
128	478	3233
129	483	3232
130	485	3220
131	489	3215
132	492	3213
133	498	3218
134	502	3221
135	508	3229
136	513	3234
137	518	3239
138	526	3262
139	530	3258
140	534	3256
141	538	3254
142	543	3255
143	547	3253
144	551	3250
145	555	3247
146	558	3242
147	562	3240
148	566	3236
149	568	3219
150	572	3216
151	575	3212
152	579	3206
153	583	3205
154	586	3197
155	589	3187
156	593	3184
157	595	3174
158	599	3168
159	601	3156
160	604	3152
161	609	3152
162	611	3141
163	616	3141
164	620	3141
165	625	3141
166	629	3138
167	632	3134
168	637	3134
169	641	3133
170	645	3128
171	648	3123
172	651	3112
173	653	3101
174	656	3095
175	658	3085
176	661	3077
177	664	3066
178	666	3057
179	669	3049
180	672	3044
181	676	3041
182	680	3039
183	684	3036
184	689	3036
185	693	3033
186	695	3025
187	698	3015
188	700	3005
189	704	3002
190	708	2999
191	711	2996
192	715	2993
193	719	2987
194	722	2981
195	725	2976
196	729	2974
197	733	2971
198	738	2970
199	739	2957
200	742	2953
201	747	2951
202	750	2947
203	752	2937
204	755	2929
205	757	2920
206	760	2911
207	762	2903
208	764	2895
209	769	2893
210	771	2886
211	775	2883
212	778	2877
213	782	2875
214	786	2872
215	789	2866
216	793	2862
217	795	2853
218	797	2845
219	800	2838
220	802	2829
221	805	2821
222	807	2814
223	812	2814
224	817	2815
225	820	2811
226	825	2812
227	830	2810
228	834	2808
229	837	2804
230	841	2802
231	845	2799
232	849	2795
233	852	2792
234	855	2785
235	859	2782
236	863	2778
237	865	2769
238	869	2768
239	872	2761
240	874	2754
241	879	2754
242	881	2747
243	884	2741
244	888	2739
245	891	2731
246	893	2724
247	896	2719
248	900	2716
249	905	2716
250	910	2717
251	914	2714
252	918	2710
253	921	2706
254	928	2711
255	931	2708
256	935	2705
257	939	2703
258	946	2708
259	951	2707
260	953	2700
261	958	2698
262	963	2699
263	967	2697
264	972	2696
265	976	2694
266	981	2693
267	986	2695
268	990	2692
269	995	2690
270	999	2687
271	1004	2687
272	1007	2684
273	1011	2681
274	1016	2678
275	1025	2689
276	1034	2699
277	1038	2697
278	1042	2693
279	1045	2689
280	1049	2686
281	1053	2682
282	1057	2678
283	1060	2672
284	1062	2664
285	1064	2657
286	1067	2652
287	1069	2645
288	1072	2638
289	1074	2631
290	1077	2625
291	1080	2619
292	1082	2611
293	1084	2605
294	1087	2597
295	1089	2590
296	1091	2583
297	1094	2577
298	1098	2574
299	1102	2571
300	1105	2567
301	1110	2565
302	1113	2561
303	1117	2558
304	1120	2553
305	1122	2546
306	1125	2541
307	1129	2537
308	1131	2531
309	1134	2525
310	1136	2517
311	1138	2511
312	1141	2505
313	1143	2499
314	1146	2493
315	1148	2486
316	1150	2478
317	1152	2471
318	1155	2467
319	1160	2466
320	1163	2460
321	1165	2454
322	1167	2447
323	1170	2443
324	1173	2437
325	1176	2431
326	1178	2425
327	1180	2419
328	1183	2413
329	1185	2407
330	1188	2401
331	1190	2394
332	1192	2389
333	1195	2384
334	1198	2379
335	1201	2374
336	1203	2368
337	1206	2362
338	1208	2355
339	1210	2349
340	1213	2344
341	1215	2338
342	1218	2333
343	1220	2328
344	1223	2322
345	1225	2316
346	1228	2311
347	1230	2305
348	1232	2299
349	1234	2293
350	1237	2287
351	1239	2281
352	1241	2275
353	1243	2269
354	1246	2265
355	1248	2259
356	1251	2253
357	1253	2248
358	1255	2242
359	1258	2236
360	1262	2234
361	1264	2228
362	1266	2223
363	1270	2219
364	1274	2217
365	1278	2214
366	1280	2209
367	1283	2203
368	1285	2198
369	1288	2193
370	1292	2190
371	1294	2185
372	1296	2179
373	1298	2173
374	1301	2168
375	1303	2163
376	1307	2160
377	1311	2158
378	1314	2153
379	1316	2148
380	1319	2143
381	1321	2137
382	1323	2132
383	1326	2127
384	1328	2122
385	1331	2117
386	1333	2111
387	1336	2107
388	1338	2102
389	1341	2098
390	1344	2093
391	1346	2087
392	1348	2082
393	1350	2077
394	1353	2072
395	1355	2067
396	1357	2062
397	1360	2057
398	1362	2052
399	1365	2047
400	1367	2042
401	1369	2037
402	1372	2032
403	1374	2027
404	1376	2022
405	1379	2017
406	1382	2014
407	1386	2012
408	1390	2009
409	1394	2006
410	1397	2002
411	1401	2000
412	1405	1997
413	1408	1994
414	1412	1991
415	1416	1988
416	1418	1982
417	1420	1977
418	1422	1972
419	1424	1967
420	1427	1963
421	1430	1958
422	1432	1954
423	1436	1950
424	1439	1947
425	1445	1947
426	1450	1946
427	1454	1943
428	1458	1940
429	1461	1937
430	1465	1934
